当前比赛序号,当前主队,当前客队,历史比赛序号,历史比赛结果,历史PRO_最终预测结果,历史PRO_gap,历史PRO融合模型预测结果,历史PRO融合模型_gap,历史主队,历史客队,PRO_pattern_0_1_2,PRO_pattern_1_2_3,PRO_pattern_2_3_4,ENS_pattern_0_1_2,ENS_pattern_1_2_3,ENS_pattern_2_3_4,,parity,parity(严格）,,,,,,,,,,,,,,,,,,,
5,"
","
",1809,平局,客胜,0.3063,客胜,0.1151,,41,0,0,0,0,1,1,2,0,"0.25,0.18,0.27,0.16,0.30",0,"
","
","0.17,0.18,0.17,0.30,0.11",0,,,,,,,,,,,,,,
"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
",,,,,,,,,,,,,,
6,"
","
",358,客胜,客胜,0.2556,客胜,0.1762,"
17-18-17是没有的
也没有17=17 
37+7=27+17有 同时，另外一个37+7=27+17也有",42,0,1,0,1,2,1,5,1,"0.25,0.18,0.30,0.37,0.27",0,"
","
","0.17,0.18,0.11,0.07,0.17",0,,,,,,,,,,,,,,
6,"
","
",2282,客胜,客胜,0.1892,客胜,0.1821,,36,0,1,0,1,2,1,5,1,"0.25,0.18,0.30,0.37,0.27",0,"
","
","0.17,0.18,0.11,0.07,0.17",0,,,,,,,,,,,,,,
6,"
","
",1809,平局,客胜,0.3063,客胜,0.1151,,41,0,1,0,1,2,1,5,1,"0.25,0.18,0.30,0.37,0.27",0,"
","
","0.17,0.18,0.11,0.07,0.17",0,,,,,,,,,,,,,,
6,"
","
",2083,客胜,客胜,0.3768,客胜,0.0781,,44,0,1,0,1,2,1,5,1,"0.25,0.18,0.30,0.37,0.27",0,"
","
","0.17,0.18,0.11,0.07,0.17",0,,,,,,,,,,,,,,
6,"
","
",228,客胜,客胜,0.2751,客胜,0.1761,,44,0,1,0,1,2,1,5,1,"0.25,0.18,0.30,0.37,0.27",0,"
","
","0.17,0.18,0.11,0.07,0.17",0,,,,,,,,,,,,,,
"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
",,,,,,,,,,,,,,
7,"
","
",2282,客胜,客胜,0.1892,客胜,0.1821,"
18-17-17 没有的
横向的18=18没有！！

",36,0,0,0,0,1,1,2,0,"0.18,0.25,0.16,0.27,0.30",0,"
","
","0.18,0.17,0.30,0.17,0.11",0,,,,,,,,,,,,,,
7,"
","
",358,客胜,客胜,0.2556,客胜,0.1762,,42,0,0,0,0,1,1,2,0,"0.18,0.25,0.16,0.27,0.30",0,"
","
","0.18,0.17,0.30,0.17,0.11",0,,,,,,,,,,,,,,
7,"
","
",1997,客胜,客胜,0.1686,客胜,0.3095,,46,0,0,0,0,1,1,2,0,"0.18,0.25,0.16,0.27,0.30",0,"
","
","0.18,0.17,0.30,0.17,0.11",0,,,,,,,,,,,,,,
7,"
","
",228,客胜,客胜,0.2751,客胜,0.1761,,44,0,0,0,0,1,1,2,0,"0.18,0.25,0.16,0.27,0.30",0,"
","
","0.18,0.17,0.30,0.17,0.11",0,,,,,,,,,,,,,,
7,"
","
",1809,平局,客胜,0.3063,客胜,0.1151,,41,0,0,0,0,1,1,2,0,"0.18,0.25,0.16,0.27,0.30",0,"
","
","0.18,0.17,0.30,0.17,0.11",0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"
","
",2282,客胜,客胜,0.1892,客胜,0.1821,"
18=18本来就不没有",36,0,0,0,1,1,1,3,1,"0.18,0.25,0.18,0.30,0.16",0,"
","
","0.18,0.17,0.17,0.11,0.30",0,"
","
","3.50,3.25,3.35,3.13,3.40",0,,,,,,,,,,
8,"
","
",358,客胜,客胜,0.2556,客胜,0.1762,,42,0,0,0,1,1,1,3,1,"0.18,0.25,0.18,0.30,0.16",0,"
","
","0.18,0.17,0.17,0.11,0.30",0,"
","
","3.50,3.25,3.35,3.13,3.40",0,,,,,,,,,,
8,"
","
",2027,客胜,客胜,0.1898,客胜,0.1786,,35,0,0,0,1,1,1,3,1,"0.18,0.25,0.18,0.30,0.16",0,"
","
","0.18,0.17,0.17,0.11,0.30",0,"
","
","3.50,3.25,3.35,3.13,3.40",0,,,,,,,,,,
8,"
","
",1809,平局,客胜,0.3063,客胜,0.1151,,41,0,0,0,1,1,1,3,1,"0.18,0.25,0.18,0.30,0.16",0,"
","
","0.18,0.17,0.17,0.11,0.30",0,"
","
","3.50,3.25,3.35,3.13,3.40",0,,,,,,,,,,
8,"
","
",1997,客胜,客胜,0.1686,客胜,0.3095,,46,0,0,0,1,1,1,3,1,"0.18,0.25,0.18,0.30,0.16",0,"
","
","0.18,0.17,0.17,0.11,0.30",0,"
","
","3.50,3.25,3.35,3.13,3.40",0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"
","
",2282,客胜,客胜,0.1892,客胜,0.1821,"
18=18没有 任意情况下都没有  18=17没有",36,1,0,1,0,0,0,2,0,"0.18,0.25,0.16,0.18,0.27",0,"
","
","0.18,0.17,0.30,0.17,0.17",0,"
","
","2.80,2.87,2.90,2.98,2.80",0,,,,,,,,,,
9,"
","
",358,客胜,客胜,0.2556,客胜,0.1762,,42,1,0,1,0,0,0,2,0,"0.18,0.25,0.16,0.18,0.27",0,"
","
","0.18,0.17,0.30,0.17,0.17",0,"
","
","2.80,2.87,2.90,2.98,2.80",0,,,,,,,,,,
9,"
","
",1997,客胜,客胜,0.1686,客胜,0.3095,,46,1,0,1,0,0,0,2,0,"0.18,0.25,0.16,0.18,0.27",0,"
","
","0.18,0.17,0.30,0.17,0.17",0,"
","
","2.80,2.87,2.90,2.98,2.80",0,,,,,,,,,,
9,"
","
",2027,客胜,客胜,0.1898,客胜,0.1786,,35,1,0,1,0,0,0,2,0,"0.18,0.25,0.16,0.18,0.27",0,"
","
","0.18,0.17,0.30,0.17,0.17",0,"
","
","2.80,2.87,2.90,2.98,2.80",0,,,,,,,,,,
9,"
","
",228,客胜,客胜,0.2751,客胜,0.1761,,44,1,0,1,0,0,0,2,0,"0.18,0.25,0.16,0.18,0.27",0,"
","
","0.18,0.17,0.30,0.17,0.17",0,"
","
","2.80,2.87,2.90,2.98,2.80",0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"
","
",14,客胜,平局,0.1469,客胜,0.1402,"
14=14没有!!!",28,0,0,0,1,1,1,3,1,"0.14,0.11,0.26,0.33,0.08",1,0.08|0.11|0.14,0.08|0.11|0.14,"0.14,0.09,0.12,0.13,0.02",1,0.12|0.13|0.14,0.12|0.13|0.14,"2.25,2.37,2.35,2.36,2.30",1,3,,,,,,,,,
10,"
","
",344,客胜,平局,0.1132,客胜,0.0934,,20,0,0,0,1,1,1,3,1,"0.14,0.11,0.26,0.33,0.08",1,0.08|0.11|0.14,0.08|0.11|0.14,"0.14,0.09,0.12,0.13,0.02",1,0.12|0.13|0.14,0.12|0.13|0.14,"2.25,2.37,2.35,2.36,2.30",1,3,,,,,,,,,
10,"
","
",2104,客胜,平局,0.2617,客胜,0.1278,,38,0,0,0,1,1,1,3,1,"0.14,0.11,0.26,0.33,0.08",1,0.08|0.11|0.14,0.08|0.11|0.14,"0.14,0.09,0.12,0.13,0.02",1,0.12|0.13|0.14,0.12|0.13|0.14,"2.25,2.37,2.35,2.36,2.30",1,3,,,,,,,,,
10,"
","
",258,主胜,平局,0.3342,客胜,0.1316,,46,0,0,0,1,1,1,3,1,"0.14,0.11,0.26,0.33,0.08",1,0.08|0.11|0.14,0.08|0.11|0.14,"0.14,0.09,0.12,0.13,0.02",1,0.12|0.13|0.14,0.12|0.13|0.14,"2.25,2.37,2.35,2.36,2.30",1,3,,,,,,,,,
10,"
","
",2139,客胜,主胜,0.0878,客胜,0.0208,,10,0,0,0,1,1,1,3,1,"0.14,0.11,0.26,0.33,0.08",1,0.08|0.11|0.14,0.08|0.11|0.14,"0.14,0.09,0.12,0.13,0.02",1,0.12|0.13|0.14,0.12|0.13|0.14,"2.25,2.37,2.35,2.36,2.30",1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"
","
",1406,客胜,主胜,0.3832,客胜,0.05,"42实际上是没有的！！！
38 39也没有
38+1=39没有？？",43,0,0,0,0,0,1,1,1,"0.38,0.39,0.18,0.42,0.26",0,"
","
","0.05,0.15,0.12,0.10,0.01",1,,,,,,,,,,,,,,
11,"
","
",2124,主胜,主胜,0.3999,客胜,0.1592,,54,0,0,0,0,0,1,1,1,"0.38,0.39,0.18,0.42,0.26",0,"
","
","0.05,0.15,0.12,0.10,0.01",1,,,,,,,,,,,,,,
11,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,,30,0,0,0,0,0,1,1,1,"0.38,0.39,0.18,0.42,0.26",0,"
","
","0.05,0.15,0.12,0.10,0.01",1,,,,,,,,,,,,,,
11,"
","
",634,主胜,主胜,0.4226,客胜,0.1001,,52,0,0,0,0,0,1,1,1,"0.38,0.39,0.18,0.42,0.26",0,"
","
","0.05,0.15,0.12,0.10,0.01",1,,,,,,,,,,,,,,
11,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,,27,0,0,0,0,0,1,1,1,"0.38,0.39,0.18,0.42,0.26",0,"
","
","0.05,0.15,0.12,0.10,0.01",1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"
","
",2042,平局,客胜,0.2038,客胜,0.0045,"
没有20+11=30（需要正好是31才行）
没有这种0 0-11 20-30（要相等才行）！！
39+2=39+2有（两个相同也有的）
39+2=30+11有 另外一个39+2=30+11也有",20,0,0,0,0,2,1,3,1,"0.20,0.39,0.39,0.37,0.30",0,"
","
","0.00,0.02,0.02,0.07,0.11",0,"
","
","2.40,2.60,2.70,2.90,2.45",0,,,,,,,,,,
12,"
","
",2206,主胜,客胜,0.3931,客胜,0.0263,,41,0,0,0,0,2,1,3,1,"0.20,0.39,0.39,0.37,0.30",0,"
","
","0.00,0.02,0.02,0.07,0.11",0,"
","
","2.40,2.60,2.70,2.90,2.45",0,,,,,,,,,,
12,"
","
",2033,主胜,客胜,0.3935,客胜,0.02,,41,0,0,0,0,2,1,3,1,"0.20,0.39,0.39,0.37,0.30",0,"
","
","0.00,0.02,0.02,0.07,0.11",0,"
","
","2.40,2.60,2.70,2.90,2.45",0,,,,,,,,,,
12,"
","
",2083,客胜,客胜,0.3768,客胜,0.0781,,44,0,0,0,0,2,1,3,1,"0.20,0.39,0.39,0.37,0.30",0,"
","
","0.00,0.02,0.02,0.07,0.11",0,"
","
","2.40,2.60,2.70,2.90,2.45",0,,,,,,,,,,
12,"
","
",1809,平局,客胜,0.3063,客胜,0.1151,,41,0,0,0,0,2,1,3,1,"0.20,0.39,0.39,0.37,0.30",0,"
","
","0.00,0.02,0.02,0.07,0.11",0,"
","
","2.40,2.60,2.70,2.90,2.45",0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"
","
",2042,平局,客胜,0.2038,客胜,0.0045,"
没有20+11=30
没有37+2=39
没有这种0 0-11 20-30（要相等才行）！！
39+2=39+2有（两个相同继续有）
39+2=30+11有 另外一个39+2=30+11也有",20,0,0,0,0,1,0,1,1,"0.20,0.37,0.39,0.39,0.30",0,"
","
","0.00,0.07,0.02,0.02,0.11",0,"
","
",,,,,,,,,,,,
13,"
","
",2083,客胜,客胜,0.3768,客胜,0.0781,,44,0,0,0,0,1,0,1,1,"0.20,0.37,0.39,0.39,0.30",0,"
","
","0.00,0.07,0.02,0.02,0.11",0,"
","
",,,,,,,,,,,,
13,"
","
",2206,主胜,客胜,0.3931,客胜,0.0263,,41,0,0,0,0,1,0,1,1,"0.20,0.37,0.39,0.39,0.30",0,"
","
","0.00,0.07,0.02,0.02,0.11",0,"
","
",,,,,,,,,,,,
13,"
","
",2033,主胜,客胜,0.3935,客胜,0.02,,41,0,0,0,0,1,0,1,1,"0.20,0.37,0.39,0.39,0.30",0,"
","
","0.00,0.07,0.02,0.02,0.11",0,"
","
",,,,,,,,,,,,
13,"
","
",1809,平局,客胜,0.3063,客胜,0.1151,,41,0,0,0,0,1,0,1,1,"0.20,0.37,0.39,0.39,0.30",0,"
","
","0.00,0.07,0.02,0.02,0.11",0,"
","
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"
","
",966,主胜,平局,0.197,平局,0.0603,"
右边的6-3-0 有  中间的3-8-13虽然是三个连续的，但是因为有6-3-0这种模式的存在，所以仍然有两个递增（都有）
19+6=25有！！（必须是25才行）
左边的一个连续3个的递增没有！！
31+3=34有 31+3=34+0没有",25,0,0,0,0,1,2,3,1,"0.19,0.31,0.25,0.23,0.34",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.06,0.03,0.08,0.13,0.00",1,0.00|0.03|0.06,0.00|0.03|0.06;0.03|0.08|0.13,"1.80,1.85,1.95,1.99,1.91",1,2,,,,,,,,,
14,"
","
",260,平局,平局,0.3177,平局,0.036,,34,0,0,0,0,1,2,3,1,"0.19,0.31,0.25,0.23,0.34",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.06,0.03,0.08,0.13,0.00",1,0.00|0.03|0.06,0.00|0.03|0.06;0.03|0.08|0.13,"1.80,1.85,1.95,1.99,1.91",1,2,,,,,,,,,
14,"
","
",792,客胜,平局,0.2517,平局,0.0898,,33,0,0,0,0,1,2,3,1,"0.19,0.31,0.25,0.23,0.34",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.06,0.03,0.08,0.13,0.00",1,0.00|0.03|0.06,0.00|0.03|0.06;0.03|0.08|0.13,"1.80,1.85,1.95,1.99,1.91",1,2,,,,,,,,,
14,"
","
",1847,平局,平局,0.238,平局,0.1381,,36,0,0,0,0,1,2,3,1,"0.19,0.31,0.25,0.23,0.34",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.06,0.03,0.08,0.13,0.00",1,0.00|0.03|0.06,0.00|0.03|0.06;0.03|0.08|0.13,"1.80,1.85,1.95,1.99,1.91",1,2,,,,,,,,,
14,"
","
",1987,平局,平局,0.3413,平局,0.0003,31-34  0-3有 ；25-34 0-8没有（必须要相同才行）,34,0,0,0,0,1,2,3,1,"0.19,0.31,0.25,0.23,0.34",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.06,0.03,0.08,0.13,0.00",1,0.00|0.03|0.06,0.00|0.03|0.06;0.03|0.08|0.13,"1.80,1.85,1.95,1.99,1.91",1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"
","
",693,客胜,客胜,0.016,客胜,0.0427,"
右边：4-11-18（特殊位置时，且不止一个递增）、  0-2-4 有两个
没有8+4=11
这种的20-8 0-11没有（必须要相等才行)
有1+11=8+4（对角线相等也有）",5,0,0,0,0,0,0,0,0,"0.01,0.06,0.18,0.20,0.08",0,"
","
","0.04,0.02,0.18,0.00,0.11",1,0.00|0.02|0.04,0.00|0.02|0.04;0.04|0.11|0.18,"3.10,3.10,3.30,3.74,4.50",0,0,,,,,,,,,
15,"
","
",2149,主胜,客胜,0.068,客胜,0.0299,,8,0,0,0,0,0,0,0,0,"0.01,0.06,0.18,0.20,0.08",0,"
","
","0.04,0.02,0.18,0.00,0.11",1,0.00|0.02|0.04,0.00|0.02|0.04;0.04|0.11|0.18,"3.10,3.10,3.30,3.74,4.50",0,0,,,,,,,,,
15,"
","
",2282,客胜,客胜,0.1892,客胜,0.1821,,36,0,0,0,0,0,0,0,0,"0.01,0.06,0.18,0.20,0.08",0,"
","
","0.04,0.02,0.18,0.00,0.11",1,0.00|0.02|0.04,0.00|0.02|0.04;0.04|0.11|0.18,"3.10,3.10,3.30,3.74,4.50",0,0,,,,,,,,,
15,"
","
",2042,平局,客胜,0.2038,客胜,0.0045,,20,0,0,0,0,0,0,0,0,"0.01,0.06,0.18,0.20,0.08",0,"
","
","0.04,0.02,0.18,0.00,0.11",1,0.00|0.02|0.04,0.00|0.02|0.04;0.04|0.11|0.18,"3.10,3.10,3.30,3.74,4.50",0,0,,,,,,,,,
15,"
","
",1555,客胜,客胜,0.0843,客胜,0.1135,,19,0,0,0,0,0,0,0,0,"0.01,0.06,0.18,0.20,0.08",0,"
","
","0.04,0.02,0.18,0.00,0.11",1,0.00|0.02|0.04,0.00|0.02|0.04;0.04|0.11|0.18,"3.10,3.10,3.30,3.74,4.50",0,0,,,,,,,,,
"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
",,,,,,,,,
16,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,"
 右边：0.01、0.12、0.23； 0.09、0.12、0.15 都有

26+1=12+15有！
左边的一个连续三个的递增没有！！",30,0,0,0,0,1,1,2,0,"0.18,0.20,0.19,0.26,0.39",1,0.18|0.19|0.20,0.18|0.19|0.20,"0.12,0.23,0.09,0.01,0.15",1,0.09|0.12|0.15,0.01|0.12|0.23;0.09|0.12|0.15,"4.20,3.40,4.50,3.86,3.80",1,1,,,,,,,,,
16,"
","
",936,客胜,主胜,0.2087,客胜,0.2365,,43,0,0,0,0,1,1,2,0,"0.18,0.20,0.19,0.26,0.39",1,0.18|0.19|0.20,0.18|0.19|0.20,"0.12,0.23,0.09,0.01,0.15",1,0.09|0.12|0.15,0.01|0.12|0.23;0.09|0.12|0.15,"4.20,3.40,4.50,3.86,3.80",1,1,,,,,,,,,
16,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,0,0,0,0,1,1,2,0,"0.18,0.20,0.19,0.26,0.39",1,0.18|0.19|0.20,0.18|0.19|0.20,"0.12,0.23,0.09,0.01,0.15",1,0.09|0.12|0.15,0.01|0.12|0.23;0.09|0.12|0.15,"4.20,3.40,4.50,3.86,3.80",1,1,,,,,,,,,
16,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,,27,0,0,0,0,1,1,2,0,"0.18,0.20,0.19,0.26,0.39",1,0.18|0.19|0.20,0.18|0.19|0.20,"0.12,0.23,0.09,0.01,0.15",1,0.09|0.12|0.15,0.01|0.12|0.23;0.09|0.12|0.15,"4.20,3.40,4.50,3.86,3.80",1,1,,,,,,,,,
16,"
","
",2124,主胜,主胜,0.3999,客胜,0.1592,,54,0,0,0,0,1,1,2,0,"0.18,0.20,0.19,0.26,0.39",1,0.18|0.19|0.20,0.18|0.19|0.20,"0.12,0.23,0.09,0.01,0.15",1,0.09|0.12|0.15,0.01|0.12|0.23;0.09|0.12|0.15,"4.20,3.40,4.50,3.86,3.80",1,1,,,,,,,,,
"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
",,,,,,,,,
17,"
","
",843,主胜,主胜,0.3657,主胜,0.0175,"
左边：26-36-43  18-29-40 只有一个 因为29-36-43是连续的三个
右边的这种1-4-7 4-7-10 两个都有",37,0,0,0,1,0,3,4,0,"0.36,0.29,0.43,0.18,0.40",1,0.29|0.36|0.43,0.18|0.29|0.40;0.29|0.36|0.43,"0.01,0.04,0.00,0.07,0.10",1,0.01|0.04|0.07,0.01|0.04|0.07;0.04|0.07|0.10,"2.50,2.30,2.55,2.59,2.50",1,2,,,,,,,,,
17,"
","
",573,主胜,主胜,0.292,主胜,0.048,,33,0,0,0,1,0,3,4,0,"0.36,0.29,0.43,0.18,0.40",1,0.29|0.36|0.43,0.18|0.29|0.40;0.29|0.36|0.43,"0.01,0.04,0.00,0.07,0.10",1,0.01|0.04|0.07,0.01|0.04|0.07;0.04|0.07|0.10,"2.50,2.30,2.55,2.59,2.50",1,2,,,,,,,,,
17,"
","
",748,主胜,主胜,0.438,主胜,0.0052,,43,0,0,0,1,0,3,4,0,"0.36,0.29,0.43,0.18,0.40",1,0.29|0.36|0.43,0.18|0.29|0.40;0.29|0.36|0.43,"0.01,0.04,0.00,0.07,0.10",1,0.01|0.04|0.07,0.01|0.04|0.07;0.04|0.07|0.10,"2.50,2.30,2.55,2.59,2.50",1,2,,,,,,,,,
17,"
","
",700,主胜,主胜,0.1889,主胜,0.0756,,25,0,0,0,1,0,3,4,0,"0.36,0.29,0.43,0.18,0.40",1,0.29|0.36|0.43,0.18|0.29|0.40;0.29|0.36|0.43,"0.01,0.04,0.00,0.07,0.10",1,0.01|0.04|0.07,0.01|0.04|0.07;0.04|0.07|0.10,"2.50,2.30,2.55,2.59,2.50",1,2,,,,,,,,,
