比赛编号,PRO_pattern_0_1_2,PRO_pattern_1_2_3,PRO_pattern_2_3_4,ENS_pattern_0_1_2,ENS_pattern_1_2_3,ENS_pattern_2_3_4,比赛结果
43,(4)0-4,(9)0-9,(1)4-5,(2)0-2,(2)0-2,(0)1-1,客胜
44,(6)10-4,(4)8-4,(11)12-1,(3)5-2,(1)2-1,(1)1-2,平局
45,(2)0-2,(0)0-0,(2)0-2,(2)5-3,(7)1-8,(8)1-9,平局
46,(3)0-3,(1)3-2,(2)0-2,(1)2-1,(2)1-3,(1)1-2,客胜
47,(0)1-1,(1)2-1,(2)3-5,(1)0-1,(0)1-1,(0)1-1,平局
48,(1)3-4,(3)4-1,(2)3-1,(0)1-1,(1)2-1,(2)3-5,平局
49,(4)6-2,(0)2-2,(1)3-4,(0)0-0,(1)0-1,(1)0-1,主胜
50,(1)0-1,(1)0-1,(1)0-1,(1)1-2,(0)2-2,(0)2-2,平局
51,(3)3-6,(2)3-1,(1)4-5,(0)5-5,(4)7-3,(4)7-3,主胜
52,(11)13-2,(8)10-2,(8)2-10,(1)0-1,(3)1-4,(1)3-2,主胜
53,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
54,(1)2-1,(0)2-2,(2)1-3,(1)2-3,(1)2-3,(3)5-2,平局
55,(2)5-3,(1)3-2,(4)1-5,(5)1-6,(1)0-1,(7)1-8,客胜
56,(1)4-5,(3)5-2,(6)1-7,(1)2-3,(2)0-2,(7)0-7,主胜
57,(1)4-5,(0)5-5,(8)10-2,(0)1-1,(1)2-1,(1)2-1,主胜
58,(0)1-1,(2)0-2,(0)2-2,(1)0-1,(1)0-1,(3)0-3,客胜
59,(5)2-7,(7)0-7,(4)0-4,(1)2-1,(3)0-3,(2)3-1,客胜
60,(1)4-5,(3)6-3,(4)2-6,(3)2-5,(1)5-4,(2)3-1,平局
61,(2)4-2,(0)2-2,(5)9-4,(2)3-1,(2)2-4,(3)6-3,客胜
62,(1)1-2,(1)0-1,(0)0-0,(6)2-8,(10)0-10,(2)0-2,主胜
63,(4)3-7,(4)10-6,(6)0-6,(3)0-3,(1)1-2,(1)0-1,平局
64,(1)1-2,(1)0-1,(8)0-8,(6)2-8,(10)0-10,(5)0-5,主胜
65,(6)2-8,(2)6-4,(2)3-1,(0)0-0,(2)0-2,(0)1-1,主胜
66,(5)7-2,(2)0-2,(1)0-1,(0)0-0,(0)0-0,(1)0-1,平局
67,(1)0-1,(2)0-2,(2)0-2,(1)0-1,(1)0-1,(0)1-1,客胜
68,(4)6-2,(0)4-4,(2)1-3,(0)0-0,(1)0-1,(1)0-1,主胜
69,(2)2-4,(1)2-3,(4)5-1,(3)4-1,(1)0-1,(1)0-1,平局
70,(5)4-9,(9)0-9,(2)0-2,(3)9-6,(7)1-8,(2)5-3,平局
71,(1)4-5,(1)4-5,(3)3-6,(1)2-3,(0)1-1,(4)5-1,主胜
72,(3)7-4,(3)4-1,(10)11-1,(7)0-7,(7)0-7,(5)7-12,平局
73,(1)0-1,(1)0-1,(3)0-3,(8)9-1,(1)0-1,(8)0-8,客胜
74,(0)0-0,(0)0-0,(2)0-2,(2)3-1,(1)3-2,(5)0-5,平局
75,(2)0-2,(2)0-2,(2)0-2,(0)0-0,(4)0-4,(2)3-1,平局
76,(0)1-1,(2)0-2,(1)1-2,(1)1-2,(0)1-1,(1)2-1,平局
77,(4)2-6,(6)0-6,(0)0-0,(1)5-4,(4)0-4,(2)0-2,主胜
78,(7)0-7,(0)0-0,(4)0-4,(4)0-4,(2)3-1,(1)0-1,平局
79,(4)0-4,(10)4-14,(10)2-12,(2)2-4,(4)0-4,(3)4-7,主胜
80,(3)2-5,(7)0-7,(4)0-4,(0)1-1,(1)1-2,(2)4-2,主胜
81,(2)0-2,(6)0-6,(6)0-6,(7)8-1,(2)3-1,(3)0-3,主胜
82,(1)1-2,(1)1-2,(3)2-5,(5)0-5,(5)0-5,(4)5-1,客胜
83,(2)0-2,(2)0-2,(6)0-6,(4)0-4,(3)4-1,(0)1-1,客胜
84,(2)2-4,(7)2-9,(5)6-11,(4)7-3,(2)5-3,(7)1-8,平局
85,(5)4-9,(5)4-9,(8)4-12,(1)1-2,(0)3-3,(1)2-1,客胜
86,(4)0-4,(5)0-5,(1)2-3,(0)3-3,(2)1-3,(2)3-1,平局
87,(2)6-4,(3)6-3,(9)0-9,(7)1-8,(8)0-8,(1)0-1,平局
88,(0)0-0,(2)0-2,(2)0-2,(1)0-1,(1)0-1,(2)0-2,客胜
89,(10)3-13,(4)10-6,(4)10-6,(1)1-2,(1)1-2,(3)0-3,平局
90,(1)0-1,(0)1-1,(1)0-1,(1)0-1,(1)0-1,(0)1-1,主胜
91,(0)1-1,(1)0-1,(2)0-2,(1)0-1,(1)0-1,(1)0-1,客胜
92,(1)2-1,(1)1-2,(6)1-7,(2)1-3,(2)3-1,(5)6-1,主胜
93,(4)5-1,(3)5-2,(2)2-4,(0)4-4,(2)1-3,(0)1-1,客胜
94,(2)7-5,(5)1-6,(1)0-1,(0)0-0,(13)0-13,(11)12-1,主胜
95,(10)3-13,(9)3-12,(13)15-2,(1)1-2,(3)0-3,(2)0-2,平局
96,(1)0-1,(2)0-2,(1)2-1,(4)2-6,(4)2-6,(6)1-7,平局
97,(2)1-3,(0)3-3,(1)3-4,(7)2-9,(5)2-7,(3)10-7,客胜
98,(1)2-1,(1)3-4,(3)1-4,(1)3-2,(2)3-1,(4)0-4,主胜
99,(2)8-6,(8)0-8,(3)0-3,(5)0-5,(5)0-5,(5)0-5,平局
100,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
101,(7)2-9,(7)2-9,(2)0-2,(4)7-3,(1)7-8,(11)13-2,主胜
102,(0)0-0,(2)0-2,(1)2-1,(1)0-1,(1)0-1,(1)0-1,客胜
103,(5)6-1,(5)1-6,(2)5-7,(9)12-3,(9)12-3,(7)12-5,主胜
104,(10)11-1,(9)12-3,(5)3-8,(4)1-5,(1)1-2,(3)0-3,客胜
105,(1)1-2,(1)1-2,(1)1-2,(1)2-1,(0)2-2,(2)2-4,主胜
106,(9)10-1,(7)9-2,(3)6-3,(1)0-1,(2)0-2,(1)1-2,平局
107,(4)0-4,(1)0-1,(2)1-3,(2)0-2,(2)0-2,(0)1-1,客胜
108,(1)0-1,(0)1-1,(1)1-2,(1)0-1,(0)1-1,(1)2-1,平局
109,(2)2-4,(0)6-6,(6)0-6,(4)7-3,(8)1-9,(7)9-2,平局
110,(2)2-4,(0)2-2,(0)2-2,(3)4-1,(1)2-1,(3)0-3,平局
111,(5)8-3,(1)2-3,(2)7-5,(5)9-4,(6)9-3,(2)5-7,平局
112,(2)6-4,(3)4-1,(1)2-3,(1)0-1,(1)0-1,(1)0-1,平局
113,(5)1-6,(4)1-5,(2)3-5,(0)0-0,(1)0-1,(0)1-1,平局
114,(7)9-2,(3)5-2,(1)4-3,(1)2-3,(2)0-2,(8)0-8,主胜
115,(2)0-2,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
116,(3)4-1,(2)3-1,(0)3-3,(0)1-1,(0)2-2,(1)5-4,平局
117,(3)1-4,(3)1-4,(1)1-2,(2)4-2,(4)1-5,(3)1-4,平局
118,(2)4-2,(0)2-2,(2)1-3,(1)0-1,(1)0-1,(1)0-1,主胜
119,(2)1-3,(1)1-2,(3)4-1,(2)3-1,(3)4-1,(1)0-1,客胜
120,(3)2-5,(6)1-7,(8)0-8,(1)2-1,(4)3-7,(7)0-7,主胜
121,(1)4-5,(13)18-5,(19)4-23,(0)1-1,(1)1-2,(2)4-2,主胜
122,(1)2-1,(0)1-1,(0)1-1,(1)2-1,(0)2-2,(4)0-4,客胜
123,(1)2-1,(1)2-3,(1)2-3,(1)0-1,(1)0-1,(2)0-2,平局
124,(1)3-4,(4)0-4,(4)0-4,(4)0-4,(2)3-1,(1)0-1,平局
125,(4)2-6,(0)4-4,(0)4-4,(1)0-1,(3)1-4,(5)0-5,平局
126,(6)2-8,(8)9-1,(0)1-1,(0)0-0,(1)0-1,(1)0-1,主胜
127,(0)0-0,(0)0-0,(2)0-2,(0)1-1,(1)3-2,(5)0-5,平局
128,(10)3-13,(1)7-6,(4)5-1,(1)1-2,(1)0-1,(1)1-2,客胜
129,(1)4-5,(3)5-2,(7)9-2,(1)2-3,(2)0-2,(0)1-1,主胜
130,(6)0-6,(2)0-2,(0)2-2,(5)0-5,(3)1-4,(3)1-4,主胜
131,(7)9-2,(3)5-2,(1)4-3,(1)2-3,(2)0-2,(8)0-8,主胜
132,(9)1-10,(5)6-11,(17)0-17,(7)0-7,(14)0-14,(12)13-1,客胜
133,(4)1-5,(1)3-2,(5)8-3,(0)0-0,(1)0-1,(1)0-1,主胜
134,(1)4-3,(2)1-3,(4)0-4,(3)1-4,(4)1-5,(4)1-5,平局
135,(2)6-8,(6)10-4,(8)12-4,(0)0-0,(0)0-0,(1)0-1,主胜
136,(4)0-4,(0)4-4,(5)4-9,(2)1-3,(4)5-1,(3)4-1,主胜
137,(1)0-1,(3)1-4,(4)0-4,(0)1-1,(0)1-1,(1)0-1,平局
138,(2)0-2,(2)0-2,(2)0-2,(1)1-2,(1)2-1,(2)0-2,客胜
139,(0)4-4,(11)4-15,(13)1-14,(7)0-7,(4)3-7,(2)3-1,平局
140,(1)7-6,(9)11-2,(1)3-2,(1)0-1,(1)0-1,(1)0-1,主胜
141,(1)4-5,(4)1-5,(1)7-6,(1)2-3,(3)5-2,(3)1-4,主胜
142,(2)0-2,(0)2-2,(1)2-3,(5)0-5,(1)2-3,(0)1-1,客胜
143,(0)1-1,(1)2-1,(1)1-2,(1)0-1,(0)1-1,(1)2-1,平局
144,(0)1-1,(0)2-2,(1)2-1,(6)7-1,(5)6-1,(2)4-2,平局
145,(2)0-2,(0)1-1,(1)0-1,(0)1-1,(1)0-1,(3)0-3,客胜
146,(5)0-5,(3)5-2,(5)6-1,(3)1-4,(4)1-5,(6)0-6,客胜
147,(0)1-1,(0)1-1,(1)1-2,(1)0-1,(0)1-1,(1)2-1,平局
148,(3)1-4,(1)2-1,(1)2-1,(3)0-3,(2)3-1,(1)2-1,客胜
149,(2)0-2,(2)0-2,(1)2-1,(3)5-2,(7)0-7,(2)0-2,主胜
150,(9)0-9,(0)0-0,(6)0-6,(0)0-0,(2)0-2,(1)2-1,主胜
151,(2)0-2,(2)0-2,(1)0-1,(5)0-5,(7)0-7,(3)2-5,主胜
152,(3)5-2,(3)7-4,(4)0-4,(12)0-12,(6)3-9,(2)1-3,客胜
153,(0)1-1,(2)1-3,(3)1-4,(6)7-1,(0)1-1,(0)1-1,平局
154,(4)5-1,(1)0-1,(0)0-0,(12)1-13,(1)0-1,(10)0-10,客胜
155,(4)0-4,(2)0-2,(0)2-2,(0)2-2,(1)2-1,(3)0-3,平局
156,(10)3-13,(11)12-1,(8)10-2,(1)1-2,(1)1-2,(0)3-3,平局
157,(11)13-2,(11)15-4,(19)0-19,(1)0-1,(0)0-0,(1)0-1,主胜
158,(12)13-1,(8)11-3,(1)1-2,(2)2-4,(2)1-3,(1)0-1,平局
159,(2)2-4,(6)0-6,(19)0-19,(1)0-1,(1)0-1,(1)0-1,主胜
160,(9)10-1,(1)6-5,(1)2-3,(1)0-1,(1)0-1,(1)0-1,平局
161,(3)3-6,(5)6-1,(4)5-1,(0)2-2,(1)1-2,(0)3-3,客胜
162,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
163,(0)1-1,(0)1-1,(0)1-1,(6)7-1,(1)2-1,(1)3-2,平局
164,(4)2-6,(0)2-2,(4)4-8,(1)0-1,(3)1-4,(3)1-4,主胜
165,(1)4-5,(3)2-5,(5)7-2,(1)2-3,(10)2-12,(10)2-12,主胜
166,(5)8-3,(8)0-8,(14)0-14,(4)5-9,(10)14-4,(6)12-6,平局
167,(1)4-3,(2)3-1,(2)3-1,(8)1-9,(4)7-3,(5)6-1,主胜
168,(2)4-2,(3)4-1,(1)1-2,(0)4-4,(8)0-8,(7)0-7,客胜
169,(3)6-3,(3)6-9,(10)6-16,(2)3-5,(4)6-2,(4)6-2,平局
170,(3)7-4,(2)6-4,(10)0-10,(3)3-6,(3)9-6,(2)4-6,主胜
171,(0)1-1,(4)1-5,(3)2-5,(1)0-1,(1)0-1,(0)1-1,平局
172,(3)1-4,(8)1-9,(8)1-9,(3)0-3,(1)1-2,(2)0-2,客胜
173,(3)4-1,(5)6-1,(2)6-4,(4)6-2,(6)8-2,(7)9-2,客胜
174,(1)3-4,(0)4-4,(0)4-4,(4)0-4,(4)0-4,(3)1-4,平局
175,(5)6-1,(2)3-1,(0)3-3,(2)0-2,(7)0-7,(3)2-5,平局
176,(4)6-2,(0)4-4,(3)4-1,(0)0-0,(1)0-1,(1)0-1,主胜
177,(2)2-4,(4)2-6,(2)0-2,(2)0-2,(0)2-2,(2)0-2,平局
178,(2)0-2,(1)2-1,(1)2-1,(3)5-2,(3)2-5,(2)0-2,主胜
179,(2)1-3,(2)3-1,(4)4-8,(7)2-9,(1)8-9,(5)11-6,客胜
180,(1)0-1,(0)1-1,(2)2-4,(0)1-1,(1)2-1,(0)1-1,平局
181,(2)0-2,(2)0-2,(2)2-4,(0)1-1,(0)2-2,(2)2-4,客胜
182,(2)0-2,(2)0-2,(1)2-1,(3)5-2,(7)0-7,(2)0-2,主胜
183,(0)1-1,(0)1-1,(3)2-5,(1)0-1,(0)1-1,(0)1-1,平局
184,(0)0-0,(0)0-0,(7)0-7,(0)1-1,(1)3-2,(5)0-5,平局
185,(8)11-3,(12)15-3,(15)0-15,(3)4-7,(9)2-11,(9)2-11,主胜
186,(4)2-6,(4)8-4,(0)4-4,(1)0-1,(1)0-1,(5)0-5,主胜
187,(2)5-3,(1)4-3,(5)2-7,(5)1-6,(1)0-1,(1)0-1,客胜
188,(5)7-12,(7)6-13,(7)3-10,(6)7-1,(1)8-7,(1)7-8,客胜
189,(0)1-1,(2)0-2,(2)0-2,(1)0-1,(1)0-1,(2)1-3,客胜
190,(3)0-3,(1)1-2,(6)1-7,(2)1-3,(2)1-3,(4)0-4,客胜
191,(0)3-3,(2)3-1,(1)0-1,(4)0-4,(3)0-3,(0)3-3,客胜
192,(2)0-2,(0)1-1,(0)1-1,(0)1-1,(1)0-1,(1)1-2,客胜
193,(0)1-1,(1)1-2,(1)1-2,(2)0-2,(1)1-2,(0)1-1,客胜
194,(2)0-2,(0)1-1,(1)0-1,(0)1-1,(1)0-1,(3)0-3,客胜
195,(0)5-5,(0)5-5,(6)11-5,(10)0-10,(7)10-3,(3)0-3,主胜
196,(2)0-2,(1)1-2,(1)1-2,(0)1-1,(0)1-1,(0)1-1,客胜
197,(4)0-4,(2)0-2,(0)2-2,(0)2-2,(2)0-2,(3)0-3,平局
198,(2)0-2,(2)0-2,(1)0-1,(0)1-1,(1)1-2,(3)0-3,客胜
199,(2)1-3,(0)4-4,(3)1-4,(0)4-4,(4)0-4,(2)0-2,平局
200,(0)1-1,(1)0-1,(2)0-2,(0)0-0,(1)0-1,(2)1-3,客胜
201,(1)1-2,(0)1-1,(2)0-2,(3)5-2,(1)3-2,(0)3-3,平局
202,(1)2-1,(1)2-1,(1)2-1,(1)3-2,(3)2-5,(2)0-2,主胜
203,(1)2-1,(6)7-1,(6)7-1,(1)3-2,(5)0-5,(3)2-5,主胜
204,(1)0-1,(7)1-8,(6)3-9,(2)10-8,(6)10-4,(3)4-1,平局
205,(2)5-3,(1)4-3,(5)2-7,(5)1-6,(1)0-1,(1)0-1,客胜
206,(2)5-3,(5)0-5,(3)0-3,(1)0-1,(0)1-1,(2)2-4,主胜
207,(1)1-2,(1)0-1,(8)0-8,(6)2-8,(10)0-10,(7)0-7,主胜
208,(1)4-5,(3)6-3,(4)2-6,(3)2-5,(1)5-4,(2)3-1,平局
209,(1)2-1,(0)1-1,(0)1-1,(1)2-3,(1)3-2,(1)2-1,平局
210,(3)4-1,(1)0-1,(2)3-1,(0)1-1,(2)1-3,(3)3-6,平局
211,(5)6-1,(4)3-7,(11)3-14,(1)1-2,(0)1-1,(5)7-2,客胜
212,(8)9-1,(0)1-1,(5)6-1,(1)1-2,(1)1-2,(2)1-3,平局
213,(1)4-5,(2)3-1,(6)1-7,(1)2-3,(4)7-3,(7)0-7,主胜
214,(3)1-4,(1)0-1,(0)1-1,(3)0-3,(1)1-2,(1)2-1,客胜
215,(4)1-5,(3)1-4,(0)1-1,(2)3-1,(2)3-5,(5)0-5,主胜
216,(7)0-7,(1)0-1,(10)1-11,(12)0-12,(11)12-1,(11)12-1,主胜
217,(0)0-0,(2)0-2,(1)2-1,(1)0-1,(1)0-1,(2)1-3,客胜
218,(5)4-9,(6)3-9,(4)4-8,(1)2-3,(3)3-6,(5)11-6,客胜
219,(4)5-1,(1)0-1,(0)1-1,(0)4-4,(7)1-8,(5)2-7,客胜
220,(7)9-2,(3)4-7,(1)4-3,(1)2-3,(3)0-3,(8)0-8,主胜
221,(3)2-5,(7)0-7,(6)7-1,(0)1-1,(1)1-2,(2)1-3,主胜
222,(4)6-2,(0)2-2,(2)1-3,(0)0-0,(1)0-1,(1)0-1,主胜
223,(0)1-1,(1)2-1,(0)1-1,(2)0-2,(0)1-1,(0)1-1,平局
224,(2)5-3,(1)4-3,(5)2-7,(5)1-6,(1)0-1,(1)0-1,客胜
225,(3)4-1,(13)14-1,(11)13-2,(0)1-1,(4)5-1,(0)3-3,平局
226,(6)7-1,(9)10-1,(9)2-11,(1)4-3,(4)7-3,(3)0-3,客胜
227,(6)0-6,(0)0-0,(2)0-2,(0)1-1,(1)0-1,(1)0-1,客胜
228,(2)0-2,(8)2-10,(12)0-12,(14)2-16,(4)11-7,(5)6-1,客胜
229,(4)5-1,(3)5-2,(1)1-2,(0)4-4,(2)1-3,(10)1-11,客胜
230,(2)0-2,(12)14-2,(14)15-1,(2)0-2,(2)0-2,(2)0-2,平局
231,(0)2-2,(2)4-2,(3)4-1,(1)0-1,(1)0-1,(1)0-1,主胜
232,(2)0-2,(0)1-1,(0)1-1,(0)1-1,(1)0-1,(1)1-2,客胜
233,(1)2-1,(2)0-2,(0)1-1,(1)2-3,(0)3-3,(1)2-1,平局
234,(0)1-1,(1)1-2,(10)11-1,(2)0-2,(1)0-1,(2)1-3,平局
235,(2)6-4,(2)2-4,(5)6-1,(1)0-1,(4)0-4,(2)1-3,平局
236,(7)9-2,(3)4-7,(0)4-4,(1)2-3,(3)0-3,(2)3-5,主胜
237,(2)2-4,(2)4-2,(3)4-1,(3)4-1,(1)2-3,(1)2-1,平局
238,(1)4-5,(3)5-2,(6)1-7,(1)2-3,(2)0-2,(7)0-7,主胜
239,(1)2-1,(8)3-11,(12)13-1,(3)0-3,(1)1-2,(2)3-1,客胜
240,(7)9-2,(3)5-2,(1)4-3,(1)2-3,(2)0-2,(8)0-8,主胜
241,(5)0-5,(6)0-6,(5)6-1,(3)1-4,(1)0-1,(0)1-1,客胜
242,(6)0-6,(0)0-0,(13)0-13,(0)1-1,(1)0-1,(1)1-2,客胜
243,(2)0-2,(2)0-2,(1)2-1,(3)5-2,(7)0-7,(2)0-2,主胜
244,(0)1-1,(0)1-1,(3)2-5,(5)1-6,(7)13-6,(1)9-10,主胜
245,(1)0-1,(1)1-2,(3)0-3,(0)1-1,(2)0-2,(2)0-2,客胜
246,(5)6-1,(3)6-3,(3)3-6,(2)0-2,(3)5-2,(5)2-7,平局
247,(5)7-2,(4)6-2,(8)0-8,(0)0-0,(0)0-0,(0)0-0,平局
248,(2)0-2,(0)2-2,(4)0-4,(1)1-2,(1)0-1,(2)0-2,客胜
249,(4)6-2,(0)4-4,(3)4-1,(0)0-0,(1)0-1,(1)0-1,主胜
250,(4)8-4,(1)8-9,(3)6-3,(5)1-6,(4)1-5,(2)3-5,平局
251,(1)2-1,(1)2-1,(2)1-3,(1)3-2,(1)2-3,(2)0-2,主胜
252,(0)5-5,(8)1-9,(9)1-10,(1)0-1,(1)1-2,(1)2-1,客胜
253,(1)2-3,(3)4-1,(2)4-2,(0)1-1,(1)2-1,(0)2-2,客胜
254,(7)9-2,(3)4-7,(0)4-4,(1)2-3,(3)0-3,(2)3-5,主胜
255,(9)10-1,(5)6-1,(6)7-1,(3)4-1,(1)5-4,(0)2-2,主胜
256,(1)2-1,(0)2-2,(1)2-3,(2)3-1,(4)0-4,(4)0-4,客胜
257,(0)2-2,(0)2-2,(0)2-2,(0)2-2,(1)2-1,(3)0-3,平局
258,(3)2-5,(1)3-4,(6)10-4,(5)6-1,(1)0-1,(2)0-2,主胜
259,(3)0-3,(0)3-3,(0)3-3,(3)1-4,(5)1-6,(5)1-6,客胜
260,(9)12-3,(7)4-11,(2)1-3,(0)3-3,(0)3-3,(0)3-3,平局
261,(1)3-4,(3)5-2,(4)5-9,(0)5-5,(4)3-7,(0)3-3,主胜
262,(3)4-1,(1)0-1,(10)11-1,(9)12-3,(4)8-4,(2)3-5,主胜
263,(1)0-1,(4)0-4,(3)1-4,(2)1-3,(3)1-4,(4)1-5,平局
264,(2)0-2,(0)1-1,(14)1-15,(4)1-5,(3)9-6,(3)6-9,平局
265,(1)4-3,(0)4-4,(1)4-5,(8)1-9,(3)6-3,(1)2-3,主胜
266,(1)2-1,(0)1-1,(0)1-1,(1)2-3,(1)3-2,(1)2-1,平局
267,(0)2-2,(1)1-2,(3)0-3,(1)3-2,(3)4-1,(2)4-2,客胜
268,(1)5-6,(3)7-4,(1)4-5,(9)0-9,(6)3-9,(10)3-13,平局
269,(2)4-2,(2)0-2,(0)1-1,(1)0-1,(3)1-4,(4)0-4,主胜
270,(1)4-5,(4)1-5,(6)1-7,(1)2-3,(3)5-2,(7)0-7,主胜
271,(0)0-0,(7)0-7,(5)6-1,(0)1-1,(1)3-2,(1)3-4,平局
272,(5)6-1,(2)6-4,(2)4-6,(1)0-1,(3)1-4,(2)3-1,主胜
273,(0)1-1,(1)2-1,(2)3-1,(2)0-2,(0)1-1,(0)1-1,平局
274,(0)1-1,(2)3-1,(1)2-1,(1)0-1,(0)1-1,(1)3-2,主胜
275,(3)1-4,(1)0-1,(3)4-1,(3)0-3,(1)1-2,(0)1-1,客胜
276,(2)2-4,(6)0-6,(2)0-2,(1)0-1,(1)0-1,(1)0-1,主胜
277,(3)1-4,(4)1-5,(5)1-6,(1)2-1,(1)2-1,(1)0-1,平局
278,(4)6-2,(6)2-8,(8)9-1,(2)5-3,(1)3-2,(0)2-2,平局
279,(0)1-1,(0)1-1,(0)1-1,(1)0-1,(1)2-1,(1)2-1,客胜
280,(1)4-3,(1)4-3,(2)2-4,(2)1-3,(4)0-4,(5)4-9,客胜
281,(1)7-6,(9)11-2,(5)8-3,(1)0-1,(1)0-1,(1)0-1,主胜
282,(0)0-0,(7)0-7,(4)7-3,(6)0-6,(6)0-6,(4)5-1,主胜
283,(3)0-3,(3)0-3,(0)3-3,(8)0-8,(6)8-2,(2)6-4,主胜
284,(1)0-1,(0)1-1,(3)2-5,(1)0-1,(0)1-1,(0)1-1,平局
285,(1)1-2,(1)0-1,(0)0-0,(6)2-8,(10)0-10,(2)0-2,主胜
286,(2)0-2,(0)1-1,(0)1-1,(0)1-1,(1)0-1,(1)1-2,客胜
287,(0)1-1,(2)0-2,(0)1-1,(1)0-1,(1)0-1,(1)2-1,客胜
288,(0)1-1,(2)0-2,(1)2-1,(2)0-2,(4)2-6,(6)1-7,平局
289,(2)0-2,(2)0-2,(11)0-11,(1)3-2,(11)13-2,(1)7-6,主胜
